,latitudes,longitudes
0,42.225912623722195,-122.03485323947132
1,42.202514547468525,-122.02046723746328
2,42.234893150022344,-122.04321725351875
3,42.24721336621768,-122.03892968061851
4,42.205370214836144,-122.01178251983298
5,42.22241648132561,-121.99256301516377
6,42.24848171784312,-122.02099272335698
7,42.262629802002216,-122.05826739544688
8,42.237863155159204,-122.02885432543694
9,42.2499160710143,-122.01436514994636
10,42.237126048617334,-122.00511171454644
11,42.250846221745995,-122.0541650379936
12,42.28119664808765,-122.04325023340913
13,42.20957960528149,-122.0020111927729
14,42.2660503867469,-122.0422775072067
15,42.27023779269181,-122.03049071089073
